City_ID,city,country,date,lat,lng,max_temp,humidity,cloudiness,wind_speed
0,Xuddur,SO,2021-01-19 03:18:04,4.1213,43.8894,67.75,65,88,14.27
1,Grindavik,IS,2021-01-19 03:18:04,63.8424,-22.4338,30.2,86,20,24.16
2,Ponta Do Sol,PT,2021-01-19 03:18:04,32.6667,-17.1,57.0,66,87,1.99
3,Clyde River,CA,2021-01-19 03:18:04,70.4692,-68.5914,-7.6,84,90,6.91
4,Vaini,TO,2021-01-19 03:18:04,-21.2,-175.2,86.0,74,75,10.36
5,Sandata,RU,2021-01-19 03:18:04,46.2708,41.7583,12.27,96,100,3.89
6,Bredasdorp,ZA,2021-01-19 03:18:05,-34.5322,20.0403,64.4,88,98,4.61
7,Port Augusta,AU,2021-01-19 03:18:05,-32.5,137.7667,87.01,43,0,17.27
8,Port Alfred,ZA,2021-01-19 03:18:05,-33.5906,26.891,66.0,91,0,1.01
9,Ushuaia,AR,2021-01-19 03:16:55,-54.8,-68.3,50.0,76,20,3.51
10,Berlevag,NO,2021-01-19 03:13:42,70.8578,29.0864,28.2,93,100,23.91
11,San Patricio,US,2021-01-19 03:18:05,28.017,-97.5169,69.8,88,75,18.41
12,Rikitea,PF,2021-01-19 03:18:05,-23.1203,-134.9692,78.49,74,63,13.53
13,Hayden,US,2021-01-19 03:16:39,47.766,-116.7866,30.99,93,90,4.61
14,Mahebourg,MU,2021-01-19 03:18:06,-20.4081,57.7,78.8,94,40,10.36
15,Thompson,CA,2021-01-19 03:18:06,55.7435,-97.8558,-7.6,84,90,3.44
16,Ulaanbaatar,MN,2021-01-19 03:18:06,47.9077,106.8832,-7.6,77,0,2.24
17,Praia Da Vitoria,PT,2021-01-19 03:18:06,38.7333,-27.0667,62.6,88,75,31.9
18,Coquimbo,CL,2021-01-19 03:13:14,-29.9533,-71.3436,57.2,88,0,5.75
19,Saint-Philippe,RE,2021-01-19 03:18:06,-21.3585,55.7679,82.4,57,0,4.61
20,Torbay,CA,2021-01-19 03:18:07,47.6666,-52.7314,37.99,87,90,16.11
21,Topeka,US,2021-01-19 03:18:07,39.0483,-95.678,32.0,74,1,3.44
22,Mataura,NZ,2021-01-19 03:18:07,-46.1927,168.8643,61.0,56,35,18.01
23,Cidreira,BR,2021-01-19 03:18:07,-30.1811,-50.2056,69.26,73,15,6.78
24,Lebu,CL,2021-01-19 03:18:07,-37.6167,-73.65,59.07,86,0,18.59
25,Port Keats,AU,2021-01-19 03:18:07,-14.25,129.55,88.54,67,100,10.58
26,Egvekinot,RU,2021-01-19 03:18:07,66.3167,-179.1667,-18.02,86,100,8.97
27,Haines Junction,CA,2021-01-19 03:18:08,60.7522,-137.5108,33.8,100,100,5.75
28,Yingcheng,CN,2021-01-19 03:18:08,30.95,113.55,51.8,40,0,11.18
29,Tuktoyaktuk,CA,2021-01-19 03:18:08,69.4541,-133.0374,-5.8,77,20,9.22
30,Ahipara,NZ,2021-01-19 03:18:08,-35.1667,173.1667,71.67,68,95,15.12
