City_ID,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date,description
0,Busselton,-33.65,115.3333,78.01,55,0,3.0,AU,2021-01-22 00:57:48,clear sky
1,Alekseyevsk,57.8406,108.3492,-17.77,86,100,1.88,RU,2021-01-22 00:57:48,overcast clouds
2,Port Alfred,-33.5906,26.891,64.99,95,0,10.25,ZA,2021-01-22 00:57:48,clear sky
3,Port Elizabeth,-33.918,25.5701,68.0,94,90,9.22,ZA,2021-01-22 00:57:49,fog
4,Iqaluit,63.7506,-68.5145,32.0,69,75,25.32,CA,2021-01-22 00:55:09,snow
5,Bolobo,-2.1667,16.2333,74.57,78,3,2.62,CD,2021-01-22 00:57:02,clear sky
6,Rikitea,-23.1203,-134.9692,79.03,73,3,14.36,PF,2021-01-22 00:57:49,clear sky
7,Avera,33.194,-82.5271,57.2,96,90,6.91,US,2021-01-22 00:57:49,mist
8,Mahebourg,-20.4081,57.7,77.0,88,40,2.3,MU,2021-01-22 00:55:08,scattered clouds
9,Albany,42.6001,-73.9662,33.01,56,26,5.95,US,2021-01-22 00:57:07,scattered clouds
10,Mar Del Plata,-38.0023,-57.5575,73.0,88,0,5.75,AR,2021-01-22 00:54:43,clear sky
11,Kodiak,57.79,-152.4072,42.8,81,90,14.97,US,2021-01-22 00:53:02,moderate rain
12,Indi,17.1667,75.9667,67.57,48,0,5.93,IN,2021-01-22 00:57:50,clear sky
13,Busselton,-33.65,115.3333,78.01,55,0,3.0,AU,2021-01-22 01:00:05,clear sky
14,Alekseyevsk,57.8406,108.3492,-17.77,86,100,1.88,RU,2021-01-22 00:57:48,overcast clouds
15,Port Alfred,-33.5906,26.891,64.99,95,0,10.25,ZA,2021-01-22 00:57:48,clear sky
16,Port Elizabeth,-33.918,25.5701,68.0,94,90,9.22,ZA,2021-01-22 00:57:49,fog
17,Iqaluit,63.7506,-68.5145,32.0,69,75,25.32,CA,2021-01-22 00:55:09,snow
18,Bolobo,-2.1667,16.2333,74.57,78,3,2.62,CD,2021-01-22 00:57:02,clear sky
19,Rikitea,-23.1203,-134.9692,79.03,73,3,14.36,PF,2021-01-22 00:57:49,clear sky
20,Avera,33.194,-82.5271,57.2,96,90,6.91,US,2021-01-22 01:00:07,mist
21,Mahebourg,-20.4081,57.7,77.0,88,40,2.3,MU,2021-01-22 00:55:08,scattered clouds
22,Albany,42.6001,-73.9662,33.01,56,26,5.95,US,2021-01-22 00:57:07,scattered clouds
23,Mar Del Plata,-38.0023,-57.5575,73.0,88,0,5.75,AR,2021-01-22 00:54:43,clear sky
24,Kodiak,57.79,-152.4072,42.8,81,90,14.97,US,2021-01-22 00:53:02,moderate rain
25,Indi,17.1667,75.9667,67.57,48,0,5.93,IN,2021-01-22 00:57:50,clear sky
